UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          09.12.2016;
          Date;Price;Volume;
          09.12.2016;52.97;413316.0;
            08.12.2016;52.11;14789.0;
            07.12.2016;51.86;10019.0;
            06.12.2016;51.9;33179.0;
            05.12.2016;51.51;148741.0;
            02.12.2016;51.17;33148.0;
            01.12.2016;51.08;352674.0;
            30.11.2016;51.72;8820.0;
            29.11.2016;51.54;16517.0;
            28.11.2016;51.42;24307.0;
            25.11.2016;51.77;5635.0;
            24.11.2016;51.25;26196.0;
            23.11.2016;51.01;882518.0;
            22.11.2016;50.95;15884.0;
            21.11.2016;51.53;21719.0;
            18.11.2016;51.92;92688.0;
            17.11.2016;52.2;8541.0;
            16.11.2016;51.86;51278.0;
            15.11.2016;51.54;45373.0;
            14.11.2016;51.69;11356.0;
            11.11.2016;51.45;65958.0;
            10.11.2016;51.92;16779.0;
            09.11.2016;51.86;22424.0;
            08.11.2016;50.92;16594.0;
            07.11.2016;50.75;82757.0;
            04.11.2016;50.04;93393.0;
            03.11.2016;50.4;29091.0;
            02.11.2016;50.77;34213.0;
            01.11.2016;51.09;46323.0;
            31.10.2016;51.59;17367.0;
            28.10.2016;51.71;55881.0;
            27.10.2016;52.06;34071.0;
            26.10.2016;51.8;180890.0;
            25.10.2016;52.08;29691.0;
            24.10.2016;52.4;21829.0;
            21.10.2016;52.74;4119.0;
            20.10.2016;52.94;112929.0;
            19.10.2016;53.07;13138.0;
            18.10.2016;52.94;10027.0;
            17.10.2016;52.42;13306.0;
            14.10.2016;53.15;49166.0;
            13.10.2016;52.43;26243.0;
            12.10.2016;52.97;95147.0;
            11.10.2016;53.33;10078.0;
            10.10.2016;53.57;34455.0;
            07.10.2016;53.17;3771.0;
            06.10.2016;53.62;9917.0;
            05.10.2016;53.72;9869.0;
            04.10.2016;53.99;3758.0;
            03.10.2016;53.56;881965.0;
            30.09.2016;53.33;147489.0;
            29.09.2016;53.37;3506.0;
            28.09.2016;53.8;67293.0;
            27.09.2016;53.47;2393.0;
            26.09.2016;53.38;10308.0;
            23.09.2016;53.88;17817.0;
            22.09.2016;54.35;24622.0;
            21.09.2016;53.7;7863.0;
            20.09.2016;53.83;13753.0;
            19.09.2016;53.62;16279.0;
            16.09.2016;53.19;23373.0;
            15.09.2016;53.4;5598.0;
            14.09.2016;53.28;23843.0;
            13.09.2016;53.49;18290.0;
            12.09.2016;53.5;11752.0;
            09.09.2016;53.84;7332.0;
            08.09.2016;54.07;18811.0;
            07.09.2016;54.38;2263.0;
            06.09.2016;55.43;45769.0;
            05.09.2016;55.63;8023.0;
            02.09.2016;55.59;7379.0;
            01.09.2016;55.2;251406.0;
            31.08.2016;55.01;14337.0;
            30.08.2016;55.39;17335.0;
            29.08.2016;54.96;27415.0;
            26.08.2016;54.94;9168.0;
            25.08.2016;54.77;7041.0;
            24.08.2016;55.06;3801.0;
            23.08.2016;55.22;8213.0;
            22.08.2016;54.86;8363.0;
            19.08.2016;54.7;8573.0;
            18.08.2016;55.1;8910.0;
            17.08.2016;54.83;57904.0;
            16.08.2016;55.35;8864.0;
            15.08.2016;55.85;5488.0;
            12.08.2016;55.75;10401.0;
            11.08.2016;55.78;4796.0;
            10.08.2016;55.17;26364.0;
            09.08.2016;55.32;18914.0;
            08.08.2016;54.92;5988.0;
            05.08.2016;55.05;10949.0;
            04.08.2016;54.3;5868.0;
            03.08.2016;53.9;12049.0;
            02.08.2016;53.9;143451.0;
            29.07.2016;54.57;15156.0;
            28.07.2016;54.56;18845.0;
            27.07.2016;55.05;7321.0;
            26.07.2016;55.01;20906.0;
            25.07.2016;54.77;18318.0;
            22.07.2016;54.77;18421.0;
            21.07.2016;54.79;86815.0;
            20.07.2016;54.72;88287.0;
            19.07.2016;54.2;126241.0;
            18.07.2016;54.73;18312.0;
            15.07.2016;54.36;8460.0;
            14.07.2016;54.68;15846.0;
            13.07.2016;54.44;7071.0;
            12.07.2016;54.44;19770.0;
            
