UBS ETF SPI (CHF) A (SPICHA/CH0131872431)
          07.12.2016;
          Time;Price;Volume;
          17:00:35;51.86;300;
            16:27:57;51.92;24;
            14:55:17;51.97;445;
            14:53:05;51.98;165;
            14:49:10;51.98;370;
            14:49:09;51.88;17;
            14:40:09;51.95;359;
            14:38:12;51.93;1000;
            14:18:23;51.86;170;
            14:15:57;51.91;11;
            13:05:44;52.02;200;
            12:06:35;52;130;
            11:21:47;52.2;2211;
            11:11:53;52.09;300;
            11:06:30;52.05;1100;
            09:57:00;51.95;340;
            09:18:25;52.16;350;
            09:00:24;52.24;485;
            
